heteriske_code,heteriske_name,category,permit_link
759,"מנוס - בן יפונה 10 בע""מ","נדל""ן",https://drive.google.com/file/d/1cLthnttlJC28eFdRcnDTKh3mvkIQxccw/view?usp=sharing
758,"מנוס - שאול המלך 63 בע""מ","נדל""ן",https://drive.google.com/file/d/1tl9g_y1efXz2SwelYlF8Je6lFlkzOH93/view?usp=sharing
757,"מנוס - שמעוני 34 בע""מ","נדל""ן",https://drive.google.com/file/d/13p35BwHSL2Cm4y2v1dUHL70g8Ah7WDn-/view?usp=sharing
524,"מנוס ניהול ואחזקות בע""מ","נדל""ן",https://drive.google.com/file/d/1Omg2BuDQ379U9FjIhLIyqfsc7KdUK6Wx/view?usp=sharing
475,"מרכז בית יעקב בארץ ישראל (ע""ר)",מוסדות חינוך,https://drive.google.com/file/d/164iUXaOfZ7l7ocwzo7ai1vK8SAOsMcV7/view?usp=sharing
532,"נדרים פלוס מערכות מידע בע""מ",מאגד אשראי,https://drive.google.com/file/d/1-JlA4eHd8BuG7R6Jd3Ab6CyA350j_rdT/view?usp=sharing
692,עיריית אלעד,כללי,https://drive.google.com/file/d/15BrtLMZm8nyoMS01MGZoRhe7gBov--1b/view?usp=drive_link
419,עיריית ירושלים,עירייה,https://drive.google.com/file/d/1UqouDziIAsLP_aNPXrA2OODzD1PCjMnH/view?usp=sharing
687,"רם אדרת סלעית גני איילון בע""מ",מוזיקה,https://drive.google.com/file/d/1Mb4h7tJ2Dm5G_0oVulbn3KrIluSJBck8/view?usp=drive_link
1323,"פיתוח מזרח ירושלים בע""מ",בניה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/היתר-עסקא-פיתוח-מזרח-ירושלים.pdf
1141,"גרינקאר (אייימאד) יבוא ומסחר בע""מ",יבוא ושיווק,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גרינקאר-אייימאד-יבוא-ומסחר-בע_מ.pdf
868,"קול יששכר ע""ר",מוסדות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/קול-יששכר-ע_ר.pdf
1082,"גומל חסדים טובים בע""מ","נדל""ן",https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גומל-חסדים-טובים-בע_מ.pdf
851,"די.בי.אס נצח קפיטל גרופ בע""מ",פיננסים,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/די.בי.אס-נצח-קפיטל-גרופ-בע_מ.pdf
1092,"דרך 38 מרכז לבריאות בע""מ",יעוץ,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דרך-38-מרכז-לבריאות-בע_מ.pdf
1093,"דרך 38 שירותים מקצועיים בע""מ",יעוץ,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דרך-38-שירותים-מקצועיים-בע_מ.pdf
1098,"וויידלי מובייל בע""מ",טלפוניה,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/וויידלי-מובייל-בע_מ.pdf
1138,פסיפלורה,חנות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פסיפלורה.pdf
1159,פיתרון,הלוואות והשקעות,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פיתרון.pdf
