chp_number,harav_levin_name,category,biz_type
510057722,"""ת.מ.מ.-תעשיות מזון מטוסים (נמל תעופה בן גוריו)",מזון למטוסים,
511068108,"א - סופט בע""מ",,"חברה פרטית - בע""מ"
511224867,"א. א. סוכנויות גז בע""מ",גז,"חברה פרטית - בע""מ"
511759433,"א. אבאל חברה לבנין ופיתוח (1993) בע""מ","נדל""ן ובינוי",
,א. זלוצ'בסקי - זלוצ'בסקי אסתר יענטא,פאות,
520041096,"א. לוי השקעות ובנין בע""מ","נדל""ן ובינוי",
510701485,"א. צום מעליות בע""מ",מעליות,
,א.א. חומרי בניין - איזנברג אברהם מרדכי,חומרי בניין,
513993105,"א.ב. אנרגיה ונכסים בע""מ",,"חברה פרטית - בע""מ"
,א.ב. כיפות - זלמן יעקב דוד,כיפות,
513894543,"א.מ. סיטי קאר רכב שיתופי בע""מ",רכבים,"חברה פרטית - בע""מ"
520043860,"א.נ. שוהם ביזנס בע""מ",הלוואות,"חברה ציבורית - בע""מ"
515125425,"א.ק קבוצת הלה מלונות (2014) בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
514585595,"א.ש יגל השקעות והובלה בע""מ",,"חברה פרטית - בע""מ"
515833762,"א.ש. יגל יזמות ובניה בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
514175983,"א.ש.נ.מ נדלן נדלן בע""מ","נדל""ן ובינוי",
520038274,"אאורה השקעות בע""מ","נדל""ן ובינוי","חברה ציבורית - בע""מ"
512836206,"אאורה מחדשים את ישראל בע""מ","נדל""ן ובינוי","חברה פרטית - בע""מ"
514091685,"אב-גד החזקות בע""מ","נדל""ן ובינוי","חברה ציבורית - בע""מ"
510119068,"אבגול תעשיות 1953 בע""מ",תעשיה עץ נייר ודפוס,
515724706,"אבו פמילי מגורים בע""מ","נדל""ן ובינוי",
511301657,"אביב - ניהול הנדסה ומערכות מידע בע""מ",תוכנות,
514787027,"אביב ניהול קרנות (2012) בע""מ",השקעה ואחזקות,"חברה פרטית - בע""מ"
514419316,"אביסרור קשת הצלחה נדל""ן בע""מ","נדל""ן ובינוי",
516946803,"אביעד פיקדונות בע""מ",פיקדונות בבנקים,
514328244,"אבני דרך י.י. בע""מ","נדל""ן ובינוי",
515763464,"אבני דרך ישוב הארץ בע""מ","נדל""ן ובינוי",
520037383,"אברות תעשיות בע""מ",תעשיה מתכת ומוצרי בניה,
2352046,אג'לן קומרשייל ריט הולדינגס אינק,"נדל""ן ובינוי",
