code,category,name,status,location,permit_link,chp_number,chp_match_name,chp_match_kind,chp_confidence,chp_verified,chp_verify_returned_code
653,פיננסים,"אגוז הנפקות ופיננסים בע""מ",היתר עסקה בתוקף,ישראל,https://drive.google.com/file/d/1zZuLZ-m9k4y8iXVJ68-_sTHF7roo_bzZ/view?usp=sharing,515293223,"אגוז הנפקות ופיננסים בע""מ",company,exact,True,653
468,בנק לאומי,"בנק לאומי לישראל בע""מ",היתר עסקה בתוקף,ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/בנק-לאומי-לישראל-בע_מ.pdf,520018078,בנק לאומי לישראל בעמ,company,exact,True,468
1097,מוסדות ועמותות,הסתדרות אגודת ישראל בארץ ישראל,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/הסתדרות-אגודת-ישראל-בארץ-ישראל.pdf,580421527,"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",association,fuzzy,False,
516,פיננסים,"וויל קפיטל ב.ד.ש. בע""מ",היתר עסקה בתוקף,ישראל,https://drive.google.com/file/d/1bSH8q7GzrGtJ6TvcRy806fun1s-4r3gm/view?usp=sharing,516602216,"וויל קפיטל ב.ד.ש. בע""מ",company,exact,True,516
529,מימון,"מיטב הלוואות בע""מ",היתר עסקה בתוקף,ישראל,https://drive.google.com/file/d/1UYecdseT44ojo8W0OVSa0WOD-fEaO0p9/view?usp=sharing,514817154,"מיטב הלוואות בע""מ",company,exact,True,529
577,מימון,"מימון ישיר נדל""ן ומשכנתאות בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1vKlsYST97zvr4qu-dHL0zCktV-chypWu/view?usp=sharing,516100153,"מימון ישיר נדל""ן ומשכנתאות בע""מ",company,exact,True,577
759,"נדל""ן","מנוס - בן יפונה 10 בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1cLthnttlJC28eFdRcnDTKh3mvkIQxccw/view?usp=sharing,515089191,"מנוס - בן יפונה 10 בע""מ",company,exact,True,759
758,"נדל""ן","מנוס - שאול המלך 63 בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1tl9g_y1efXz2SwelYlF8Je6lFlkzOH93/view?usp=sharing,514832781,"מנוס - שאול המלך 63 בע""מ",company,exact,True,758
757,"נדל""ן","מנוס - שמעוני 34 בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/13p35BwHSL2Cm4y2v1dUHL70g8Ah7WDn-/view?usp=sharing,515848968,"מנוס - שמעוני 34 בע""מ",company,exact,True,757
524,"נדל""ן","מנוס ניהול ואחזקות בע""מ",היתר עסקה בתוקף,ישראל,https://drive.google.com/file/d/1Omg2BuDQ379U9FjIhLIyqfsc7KdUK6Wx/view?usp=sharing,,,,,,
475,מוסדות חינוך,"מרכז בית יעקב בארץ ישראל (ע""ר)",היתר עסקה בתוקף,ישראל,https://drive.google.com/file/d/164iUXaOfZ7l7ocwzo7ai1vK8SAOsMcV7/view?usp=sharing,580026805,"מרכז בית יעקב בארץ ישראל (ע""ר)",association,exact,True,475
532,מאגד אשראי,"נדרים פלוס מערכות מידע בע""מ",היתר עסקה בתוקף,ישראל,https://drive.google.com/file/d/1-JlA4eHd8BuG7R6Jd3Ab6CyA350j_rdT/view?usp=sharing,516831591,"נדרים פלוס מערכות מידע בע""מ",company,exact,True,532
692,כללי,עיריית אלעד,היתר עסקה בתוקף,,https://drive.google.com/file/d/15BrtLMZm8nyoMS01MGZoRhe7gBov--1b/view?usp=drive_link,,,,,,
419,עירייה,עיריית ירושלים,היתר עסקה בתוקף,ירושלים - ישראל,https://drive.google.com/file/d/1UqouDziIAsLP_aNPXrA2OODzD1PCjMnH/view?usp=sharing,,,,,,
1166,"ריהוט, מוצרי חשמל ותינוקות",פיקס האלומיניום,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פיקס-האלומיניום.pdf,,,,,,
736,"נדל""ן","קבוצת מנוס ייזום והשקעות בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1XOkSMjtLsjlKfaa3Gw66wmmB1c7OilNK/view?usp=drive_link,514662519,"קבוצת מנוס ייזום והשקעות בע""מ",company,exact,True,736
687,מוזיקה,"רם אדרת סלעית גני איילון בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1Mb4h7tJ2Dm5G_0oVulbn3KrIluSJBck8/view?usp=drive_link,516386745,"רם אדרת סלעית גני איילון בע""מ",company,exact,True,687
1052,"נדל""ן","א.ב ברזיל ישראל נדל""ן בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/16ZwZfxUiFdRVPxI-TfH66VjTGmV0_7ye/view?usp=drive_link,514533470,"א.ב ברזיל ישראל נדל""ן בע""מ",company,exact,True,1052
1323,בניה,"פיתוח מזרח ירושלים בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/05/היתר-עסקא-פיתוח-מזרח-ירושלים.pdf,520027392,פיתוח מזרח ירושלים בעמ,company,exact,True,1323
1141,יבוא ושיווק,"גרינקאר (אייימאד) יבוא ומסחר בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גרינקאר-אייימאד-יבוא-ומסחר-בע_מ.pdf,516330123,"גרינקאר (אייימאד) יבוא ומסחר בע""מ",company,exact,True,1141
868,מוסדות,"קול יששכר ע""ר",היתר עסקה בתוקף,ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/קול-יששכר-ע_ר.pdf,,,,,,
1082,"נדל""ן","גומל חסדים טובים בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/גומל-חסדים-טובים-בע_מ.pdf,515715969,"גומל חסדים טובים בע""מ",company,exact,True,1082
851,פיננסים,"די.בי.אס נצח קפיטל גרופ בע""מ",היתר עסקה בתוקף,ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/די.בי.אס-נצח-קפיטל-גרופ-בע_מ.pdf,517017406,"די.בי.אס נצח קפיטל גרופ בע""מ",company,exact,True,851
1092,יעוץ,"דרך 38 מרכז לבריאות בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דרך-38-מרכז-לבריאות-בע_מ.pdf,515421253,"דרך 38 מרכז לבריאות בע""מ",company,exact,True,1092
1093,יעוץ,"דרך 38 שירותים מקצועיים בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/דרך-38-שירותים-מקצועיים-בע_מ.pdf,515032209,"דרך 38 שירותים מקצועיים בע""מ",company,exact,True,1093
1098,טלפוניה,"וויידלי מובייל בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/וויידלי-מובייל-בע_מ.pdf,,,,,,
1138,חנות,פסיפלורה,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פסיפלורה.pdf,,,,,,
1159,הלוואות והשקעות,פיתרון,היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פיתרון.pdf,,,,,,
1146,צ'יינג',"שי מידע פיננסים והשקעות בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/שי-מידע-פיננסים-והשקעות-בע_מ.pdf,514768803,"שי מידע פיננסים והשקעות בע""מ",company,exact,True,1146
1056,"נדל""ן","אופק חופים בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1ffT3AzNgnszZJ_BDpmT66qqus3gW_vBg/view?usp=drive_link,514698216,"אופק חופים בע""מ",company,exact,True,1056
1057,"נדל""ן","אחוזת אריה 2015 בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1uuytYNIeELvEubN8x7ni-iNTgG4aTEom/view?usp=drive_link,515242378,"אחוזת אריה 2015 בע""מ",company,exact,True,1057
1059,"נדל""ן","איחוד מגורי ישראל בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/איחוד-מגורי-ישראל-בע_מ.pdf,516242419,"איחוד מגורי ישראל בע""מ",company,exact,True,1059
1064,"נדל""ן","אפי קפיטל אחזקות בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/16o3xT1fCi58pGpohOruq5GxJI7yROgY6/view?usp=drive_link,517084216,"אפי קפיטל פ. אחזקות בע""מ",company,fuzzy,False,
1065,"נדל""ן","אפי קפיטל אחזקות משכנות בראל בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1s330kZJFI-Wi974dG6ueLNnA8wYIbIbc/view?usp=drive_link,,,,,,
1066,"נדל""ן","אפי קפיטל ביוני בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/1B-00pcul3gH-pcu8KrxeVIQyovIWIY5V/view?usp=drive_link,,,,,,
