heteriske_code,heteriske_name,chp_number,chp_match_name,chp_confidence,registry_status,registry_official_name,registry_entity_type,registry_biz_type,registry_status_raw,error
653,"אגוז הנפקות ופיננסים בע""מ",515293223,"אגוז הנפקות ופיננסים בע""מ",exact,פעילה,"אגוז הנפקות ופיננסים בע""מ",company,"חברה פרטית - בע""מ",פעילה,
468,"בנק לאומי לישראל בע""מ",520018078,בנק לאומי לישראל בעמ,exact,פעילה,בנק לאומי לישראל בעמ,company,"חברה ציבורית - בע""מ",פעילה,
1097,הסתדרות אגודת ישראל בארץ ישראל,580421527,"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",fuzzy,לא פעילה בפועל (נמחקה),"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",association,עמותה רשומה,נמחקה,
516,"וויל קפיטל ב.ד.ש. בע""מ",516602216,"וויל קפיטל ב.ד.ש. בע""מ",exact,פעילה,"וויל קפיטל ב.ד.ש.  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
529,"מיטב הלוואות בע""מ",514817154,"מיטב הלוואות בע""מ",exact,פעילה,"מיטב הלוואות  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
577,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153,"מימון ישיר נדל""ן ומשכנתאות בע""מ",exact,פעילה,"מימון ישיר נדל""ן ומשכנתאות   בע""מ",company,"חברה פרטית - בע""מ",פעילה,
759,"מנוס - בן יפונה 10 בע""מ",515089191,"מנוס - בן יפונה 10 בע""מ",exact,פעילה,"מנוס - בן יפונה 10 בע""מ",company,"חברה פרטית - בע""מ",פעילה,
758,"מנוס - שאול המלך 63 בע""מ",514832781,"מנוס - שאול המלך 63 בע""מ",exact,פעילה,"מנוס - שאול המלך 63 בע""מ",company,"חברה פרטית - בע""מ",פעילה,
757,"מנוס - שמעוני 34 בע""מ",515848968,"מנוס - שמעוני 34 בע""מ",exact,פעילה,"מנוס  - שמעוני 34  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
475,"מרכז בית יעקב בארץ ישראל (ע""ר)",580026805,"מרכז בית יעקב בארץ ישראל (ע""ר)",exact,פעילה,"מרכז בית יעקב בארץ ישראל (ע""ר)",association,עמותה רשומה,רשומה,
532,"נדרים פלוס מערכות מידע בע""מ",516831591,"נדרים פלוס מערכות מידע בע""מ",exact,פעילה,"נדרים פלוס מערכות מידע  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
736,"קבוצת מנוס ייזום והשקעות בע""מ",514662519,"קבוצת מנוס ייזום והשקעות בע""מ",exact,פעילה,"קבוצת מנוס ייזום והשקעות בע""מ",company,"חברה פרטית - בע""מ",פעילה,
687,"רם אדרת סלעית גני איילון בע""מ",516386745,"רם אדרת סלעית גני איילון בע""מ",exact,פעילה,"רם אדרת סלעית גני איילון  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1052,"א.ב ברזיל ישראל נדל""ן בע""מ",514533470,"א.ב ברזיל ישראל נדל""ן בע""מ",exact,פעילה,"א.ב ברזיל ישראל נדל""ן בע""מ",company,"חברה פרטית - בע""מ",פעילה,
1323,"פיתוח מזרח ירושלים בע""מ",520027392,פיתוח מזרח ירושלים בעמ,exact,פעילה,פיתוח מזרח ירושלים בעמ,company,"חברה פרטית - בע""מ",פעילה,
1141,"גרינקאר (אייימאד) יבוא ומסחר בע""מ",516330123,"גרינקאר (אייימאד) יבוא ומסחר בע""מ",exact,פעילה,"גרינקאר (אייימאד) יבוא ומסחר  בע""מ",company,"חברה פרטית - בע""מ",פעילה,
