heteriske_code,heteriske_name,chp_number,our_name,status,name_accurate,chp_verified
653,"אגוז הנפקות ופיננסים בע""מ",515293223,"אגוז הנפקות ופיננסים בע""מ",מדויק,True,True
468,"בנק לאומי לישראל בע""מ",520018078,בנק לאומי לישראל בעמ,מדויק,True,True
1097,הסתדרות אגודת ישראל בארץ ישראל,580421527,"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",קירוב - השם ב-heteriske שונה מהשם במאגר שלנו,False,False
516,"וויל קפיטל ב.ד.ש. בע""מ",516602216,"וויל קפיטל ב.ד.ש. בע""מ",מדויק,True,True
529,"מיטב הלוואות בע""מ",514817154,"מיטב הלוואות בע""מ",מדויק,True,True
577,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153,"מימון ישיר נדל""ן ומשכנתאות בע""מ",מדויק,True,True
759,"מנוס - בן יפונה 10 בע""מ",515089191,"מנוס - בן יפונה 10 בע""מ",מדויק,True,True
758,"מנוס - שאול המלך 63 בע""מ",514832781,"מנוס - שאול המלך 63 בע""מ",מדויק,True,True
757,"מנוס - שמעוני 34 בע""מ",515848968,"מנוס - שמעוני 34 בע""מ",מדויק,True,True
524,"מנוס ניהול ואחזקות בע""מ",,,לא ידוע - לא נפתר מול המאגר שלנו,,
475,"מרכז בית יעקב בארץ ישראל (ע""ר)",580026805,"מרכז בית יעקב בארץ ישראל (ע""ר)",מדויק,True,True
532,"נדרים פלוס מערכות מידע בע""מ",516831591,"נדרים פלוס מערכות מידע בע""מ",מדויק,True,True
692,עיריית אלעד,,,לא ידוע - לא נפתר מול המאגר שלנו,,
419,עיריית ירושלים,,,לא ידוע - לא נפתר מול המאגר שלנו,,
1166,פיקס האלומיניום,,,לא ידוע - לא נפתר מול המאגר שלנו,,
736,"קבוצת מנוס ייזום והשקעות בע""מ",514662519,"קבוצת מנוס ייזום והשקעות בע""מ",מדויק,True,True
687,"רם אדרת סלעית גני איילון בע""מ",516386745,"רם אדרת סלעית גני איילון בע""מ",מדויק,True,True
1052,"א.ב ברזיל ישראל נדל""ן בע""מ",514533470,"א.ב ברזיל ישראל נדל""ן בע""מ",מדויק,True,True
1323,"פיתוח מזרח ירושלים בע""מ",520027392,פיתוח מזרח ירושלים בעמ,מדויק,True,True
