heteriske_code,heteriske_name,chp_number,our_name,significance,core_similarity_after_admin_strip,chp_verified
2132,"אוניקס חי בע""מ",516712122,"אוניקס חיפה מ.מ בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.783,False
1933,"שדרות יפו 1 בע""מ",515755064,"שדרות פינת יפו 1 בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.815,True
1782,"יריד החסידות בע""מ",515482131,"איכה - יריד החסידות בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.828,True
65,מרפאת שיניים,540182276,מרפאת שיניים גילת,לבדיקה - הבדל משמעותי בליבת השם,0.828,False
1140,"רזאור הנדסה ויעוץ בע""מ",512526278,"רזאור השקעות הנדסה ויעוץ בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.829,True
1878,"כרמים נווה פת בע""מ",517280277,"כרמים נווה פת מרכז בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.839,False
1666,"מישל ייזום ובניה בע""מ",515599686,"מישל פרגון ייזום ובניה בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.842,True
1735,"עדיף יזמות פיתוח בע""מ",515345379,"עדיף יזמות פיתוח ומסחר בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.842,True
1875,"קרתא כרמים התחדשות עירונית בע""מ",516727682,"קרתא כרמים התחדשות עירונית בצלאל 28 בע""מ",לבדיקה - הבדל משמעותי (מספר מבדיל בין הישויות),0.852,False
2134,"מ.פ. טופז החזקות בע""מ",517156998,"א.נ. טופז החזקות בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.857,False
1097,הסתדרות אגודת ישראל בארץ ישראל,580421527,"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",לבדיקה - הבדל משמעותי בליבת השם,0.87,False
1909,הסתדרות אגודת ישראל בארץ ישראל,580421527,"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",לבדיקה - הבדל משמעותי בליבת השם,0.87,False
2125,"ברק שוהם סוכנות פנסיוני(2015) בע""מ",515225449,"ברק שוהם סוכנות לביטוח פנסיוני (2015) בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.871,False
15,י.ס. אנרגיה מתחדשת,540237807,סער אנרגיה מתחדשת,לבדיקה - הבדל משמעותי בליבת השם,0.909,False
1508,סימפל,540167152,סימפלי,לבדיקה - הבדל משמעותי בליבת השם,0.909,False
455,"בית ירוק מקבוצת בית ירושלמי שלי בע""מ",515901999,"בית ירוק בעיר מקבוצת בית ירושלמי שלי בע""מ",לבדיקה - הבדל משמעותי בליבת השם,0.925,True
775,בנה בתך,540123114,בנה ביתך,כנראה לא משמעותי - הבדל איות קל,0.933,False
1064,"אפי קפיטל אחזקות בע""מ",517084216,"אפי קפיטל פ. אחזקות בע""מ",כנראה לא משמעותי - הבדל איות קל,0.941,False
761,"לואן וייז בע""מ",516961604,"לואן ווייז בע""מ",כנראה לא משמעותי - הבדל איות קל,0.947,True
1107,"מגדלור קרן השקעות שירותי ניהול בע""מ",516284387,"מגדלור קרן השקעות 2 - שירותי ניהול בע""מ",לבדיקה - הבדל משמעותי (מספר מבדיל בין הישויות),0.968,False
762,"לואן וייז (ישראל) בע""מ",517018123,"לואן ווייז (ישראל) בע""מ",כנראה לא משמעותי - הבדל איות קל,0.968,True
1918,"רפאל אינטרנשיונל בע""מ",510760804,"רפאלי אינטרנשיונל בע""מ",כנראה לא משמעותי - הבדל איות קל,0.97,False
1108,"מוסדות חסידי בעלז בני-ברק (ע""ר)",580031680,"מוסדות חסידי בעלזא בני-ברק (ע""ר)",כנראה לא משמעותי - הבדל איות קל,0.98,True
1145,"יאדיר תורה בנגב בע""מ",514062827,"יאדיר תורה בנגב בע""מ (חל""ץ)",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
858,"בית יעקב- בית יהודה אריה ע""ר",580099869,"בית יעקב- בית יהודה אריה (ע""ר)",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
870,"מגן אברהם קרנות לעזרה ולגמילות חסדים ע""ר",580194793,"מגן אברהם קרנות לעזרה ולגמילות חסדים (ע""ר)",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
61,א.ל. שפירא כוח אדם,516889995,"א.ל שפירא כוח אדם בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
1701,ברכת ישראל,510950173,"ברכת ישראל בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,False
1723,זילבר ייעוץ והדרכה,515843399,"זילבר ייעוץ והדרכה בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,False
2136,"חברת עוגן - קרן להלוואות חברתיות בע""מ",515865335,"עוגן - קרן להלוואות חברתיות בע""מ (חל""צ)",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
2815,יוסף עשת,510593569,יוסף עשת בעמ,לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
1906,"מגדלור - מוצרים אלטרנטיביים בע""מ",515514263,"מגדלור- מוצרים אלטרנטיביים בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
1716,מוצרים זה ברור,515314748,"מוצרים זה ברור בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
520,"מכון חינוך וסיוע בית רבקה באידיש חסידי (ע""ר)",580465367,"עמותת מכון חינוך וסיוע בית רבקה באידיש חסידי (ע""ר)",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
2127,מצות יד מהודרות (בית שמש),513357541,"מצות יד מהודרות (בית שמש) בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
1848,נופטק מחשבים,517359352,"נופטק מחשבים בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,False
536,נטליה ת.א.א. השקעות,515794840,"נטליה ת.א.א. השקעות בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
674,"עמינדב בוטיק בע""מ",515776532,"חברת עמינדב בוטיק בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
737,קאש פויינט השקעות,514847581,"קאש פויינט השקעות בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
1760,רפאלי - הקוטב הצפוני,515852259,"רפאלי הקוטב הצפוני בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,False
1812,"שטיבלך קהל חסידים בע""מ(חל""צ)",513322396,"שטיבלך קהל חסידים בע""מ (חל""צ)",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
1676,שפירא תאורה,516826989,"שפירא תאורה בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,False
792,בית אדיר יזמות ובניה,515668218,"בית אדיר יזמות ובניה בע""מ",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
800,"ספארק איי אל בע""מ",516113479,"ספארק איי אל בע""מ (חל""צ)",לא חשוב - הבדל מנהלי/טכני בלבד (למשל סיומת משפטית),1.0,True
