heteriske_code,heteriske_name,chosen_name,chosen_chp,chosen_kind,chosen_score,chp_verified,chp_verify_returned_code,alt1_name,alt1_chp,alt1_score,alt2_name,alt2_chp,alt2_score,alt3_name,alt3_chp,alt3_score
1097,הסתדרות אגודת ישראל בארץ ישראל,"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",580421527,association,0.8,False,,"הסתדרות ""אגודת ישראל"" בארץ ישראל סניף תל-אביב-יפו (ע""ר)",580268209,0.706,"הסתדרות צעירי אגודת ישראל הנוער האגודתי בארץ ישראל (ע""ר)",580066934,0.698,,,
1064,"אפי קפיטל אחזקות בע""מ","אפי קפיטל פ. אחזקות בע""מ",517084216,company,0.933,False,,,,,,,,,,
1107,"מגדלור קרן השקעות שירותי ניהול בע""מ","מגדלור קרן השקעות 2 - שירותי ניהול בע""מ",516284387,company,0.946,False,,,,,,,,,,
2132,"אוניקס חי בע""מ","אוניקס חיפה מ.מ בע""מ",516712122,company,0.824,False,,,,,,,,,,
1701,ברכת ישראל,"ברכת ישראל בע""מ",510950173,company,0.8,False,,,,,,,,,,
2125,"ברק שוהם סוכנות פנסיוני(2015) בע""מ","ברק שוהם סוכנות לביטוח פנסיוני (2015) בע""מ",515225449,company,0.895,False,,,,,,,,,,
1909,הסתדרות אגודת ישראל בארץ ישראל,"הסתדרות אגודת ישראל בארץ ישראל בבני ברק (ע""ר)",580421527,association,0.8,False,,"הסתדרות ""אגודת ישראל"" בארץ ישראל סניף תל-אביב-יפו (ע""ר)",580268209,0.706,"הסתדרות צעירי אגודת ישראל הנוער האגודתי בארץ ישראל (ע""ר)",580066934,0.698,,,
1723,זילבר ייעוץ והדרכה,"זילבר ייעוץ והדרכה בע""מ",515843399,company,0.878,False,,,,,,,,,,
15,י.ס. אנרגיה מתחדשת,סער אנרגיה מתחדשת,540237807,partnership,0.857,False,,"י.ס אנרגיה מתחדשת בע""מ",517112082,0.85,הליוס אנרגיה מתחדשת 1,550250583,0.821,הליוס אנרגיה מתחדשת 4,540278793,0.821
1878,"כרמים נווה פת בע""מ","כרמים נווה פת מרכז בע""מ",517280277,company,0.878,False,,,,,,,,,,
2134,"מ.פ. טופז החזקות בע""מ","א.נ. טופז החזקות בע""מ",517156998,company,0.905,False,,"טל טופז החזקות בע""מ",516589934,0.85,,,,,,
1906,"מגדלור - מוצרים אלטרנטיביים בע""מ","מגדלור- מוצרים אלטרנטיביים בע""מ",515514263,company,0.984,True,1906,"מגדלור - הפצת מוצרים אלטרנטיביים בע""מ",516322641,0.928,"מגדלור בית למוצרים אלטרנטיביים בע""מ",516322963,0.925,"מגדלור - מוצרים אלטרנטיביים (קלטון) בע""מ",516443504,0.889
65,מרפאת שיניים,מרפאת שיניים גילת,540182276,partnership,0.828,False,,שנחי מרפאת שיניים,540224268,0.828,מרפאת שיניים אם.די.אם,540213899,0.727,"מרפאת שיניים גפן בע""מ",515012888,0.727
1848,נופטק מחשבים,"נופטק מחשבים בע""מ",517359352,company,0.828,False,,,,,,,,,,
1875,"קרתא כרמים התחדשות עירונית בע""מ","קרתא כרמים התחדשות עירונית בצלאל 28 בע""מ",516727682,company,0.873,False,,"כרמים התחדשות עירונית מקבוצת קרתא בע""מ",516454915,0.754,,,,,,
1918,"רפאל אינטרנשיונל בע""מ","רפאלי אינטרנשיונל בע""מ",510760804,company,0.977,False,,,,,,,,,,
1760,רפאלי - הקוטב הצפוני,"רפאלי הקוטב הצפוני בע""מ",515852259,company,0.837,False,,,,,,,,,,
1676,שפירא תאורה,"שפירא תאורה בע""מ",516826989,company,0.815,False,,,,,,,,,,
775,בנה בתך,בנה ביתך,540123114,partnership,0.933,False,,,,,,,,,,
1508,סימפל,סימפלי,540167152,partnership,0.909,False,,,,,,,,,,
800,"ספארק איי אל בע""מ","ספארק איי אל בע""מ (חל""צ)",516113479,company,0.829,True,800,"טי איי ספארקל ישראל בע""מ",512991282,0.683,,,,,,
