chp_1,name_1,chp_2,name_2,similarity
520004896,מסלול הלכה,512065202,מסלול הלכה,1.0
515217461,"שיכון ובינוי - סולל בונה - תעשיות בע""מ",520022625,"שיכון ובינוי - סולל בונה תשתיות בע""מ",0.966
516182524,"קרדיטו מכשיר ייעודי למימון 2 בע""מ",516228970,"קרדיטו מכשיר ייעודי למימון 3 בע""מ",0.964
516182524,"קרדיטו מכשיר ייעודי למימון 2 בע""מ",516176344,"קרדיטו מכשיר יעודי למימון בע""מ",0.943
516228970,"קרדיטו מכשיר ייעודי למימון 3 בע""מ",516176344,"קרדיטו מכשיר יעודי למימון בע""מ",0.943
513987057,"מי שבע - תאגיד אזורי למים וביוב בע""מ",513480624,"מיתב - תאגיד אזורי למים וביוב בע""מ",0.929
520039975,"אלקטרה מוצרי צריכה (1951) בע""מ",520039967,"אלקטרה מוצרי צריכה (1970) בע""מ",0.913
520025156,"יצוא חברה להשקעות בע""מ",520008483,"תיא חברה להשקעות בע""מ",0.909
515664431,"חרוב מימון בע""מ",516176104,רובי מימון,0.9
512869777,"כלמוביל פתרונות מימון בע""מ",512899097,"כלמוביל פתרונות מימון לרכב בע""מ",0.894
513516815,"מכבידנט בע""מ",515793032,"מכבים דנט בע""מ",0.875
520033473,"אפקון החזקות בע""מ",520037367,"ארקו החזקות בע""מ",0.87
511382343,"כלל פיננסים בע""מ",516211232,"כרמל פיננסים בע""מ",0.87
513579482,"ברם תעשיות בע""מ",520040346,ברנד תעשיות,0.857
516192259,"מימון משפטי (א.ק.) בע""מ",516197639,"מימון משפטי (ל.ט.) בע""מ",0.857
